high,low,last,interest_rate,instrument_name,bid_price,ask_price,open_interest,mark_price,creation_timestamp,price_change,volume,mark_iv,underlying_price,underlying_index,base_currency,quote_currency,estimated_delivery_price,volume_usd,mid_price,strike,expiration_timestamp,option_type,spread,spread_ratio,moneyness,intrinsic_value,mid_price_usd,arbitrage_opportunity
0.068,0.065,0.065,0.0,BTC-25JUN27-45000-P,0.064,0.067,1.0,0.06548142,1782497953809,-4.4118,0.5,50.33,59924.95,BTC-25JUN27,BTC,BTC,59924.95,1993.97,0.0655,45000.0,1813910400000,put,0.0030000000000000027,0.045801526717557293,0.7509392999076345,0.0,3925.084225,False
0.1025,0.0975,0.1025,0.0,BTC-26MAR27-70000-C,0.099,0.101,942.9,0.09995459,1782497953809,4.0609,1.8,43.42,59924.95,BTC-26MAR27,BTC,BTC,59924.95,10809.33,0.1,70000.0,1806048000000,call,0.0020000000000000018,0.020000000000000018,1.1681277998563204,0.0,5992.495,False
0.364,0.3635,0.364,0.0,BTC-31JUL26-82000-P,0.3595,0.3695,107.7,0.36607532,1782497953809,0.1376,3.3,43.54,59924.95,BTC-31JUL26,BTC,BTC,59924.95,72097.59,0.3645,82000.0,1785484800000,put,0.010000000000000009,0.02743484224965709,1.3683782798316895,22075.050000000003,21842.644275,True
0.049,0.0375,0.0375,0.0,BTC-28AUG26-55000-P,0.0375,0.0385,345.9,0.03803682,1782497953809,-12.7907,43.8,46.42,59924.95,BTC-28AUG26,BTC,BTC,59924.95,110123.79,0.038,55000.0,1787904000000,put,0.0010000000000000009,0.026315789473684233,0.9178146998871088,0.0,2277.1481,False
0.0135,0.0085,0.009,0.0,BTC-31JUL26-48000-P,0.0075,0.0085,531.6,0.00803048,1782497953809,-10.0,267.4,58.12,59924.95,BTC-31JUL26,BTC,BTC,59924.95,151552.6,0.008,48000.0,1785484800000,put,0.0010000000000000009,0.1250000000000001,0.8010019199014768,0.0,479.39959999999996,False
0.0125,0.0049,0.0055,0.0,BTC-3JUL26-55000-P,0.005,0.006,1649.6,0.00546794,1782497953809,-35.2941,290.3,59.54,59924.95,BTC-3JUL26,BTC,BTC,59924.95,132368.27,0.0055,55000.0,1783065600000,put,0.001,0.18181818181818182,0.9178146998871088,0.0,329.587225,False
0.107,0.107,0.107,0.0,BTC-3JUL26-67000-P,0.1145,0.1205,22.4,0.11816493,1782497953809,0.0,3.0,42.71,59924.95,BTC-3JUL26,BTC,BTC,59924.95,19443.78,0.1175,67000.0,1783065600000,put,0.0059999999999999915,0.05106382978723397,1.118065179862478,7075.050000000003,7041.181624999999,True
0.35,0.3205,0.3205,0.0,BTC-31JUL26-80000-P,0.3265,0.339,397.1,0.33290811,1782497953809,-8.4286,18.4,41.84,59924.95,BTC-31JUL26,BTC,BTC,59924.95,357101.41,0.33275,80000.0,1785484800000,put,0.012500000000000011,0.03756574004507892,1.3350031998357947,20075.050000000003,19940.0271125,True
0.055,0.0515,0.0515,0.0,BTC-26MAR27-45000-P,0.051,0.053,70.4,0.051839,1782497953809,-6.3636,4.2,50.99,59924.95,BTC-26MAR27,BTC,BTC,59924.95,13649.42,0.052,45000.0,1806048000000,put,0.0020000000000000018,0.0384615384615385,0.7509392999076345,0.0,3116.0973999999997,False
0.0065,0.0016,0.0021,0.0,BTC-30JUN26-55000-P,0.0017,0.002,89.5,0.00193349,1782497953809,-27.5862,91.7,60.53,59924.95,index_price,BTC,BTC,59924.95,24432.0,0.00185,55000.0,1782806400000,put,0.00030000000000000014,0.16216216216216223,0.9178146998871088,0.0,110.8611575,False
,,0.116,0.0,BTC-31JUL26-71000-P,0.184,0.189,110.0,0.1869608,1782497953809,,0.0,38.55,59924.95,BTC-31JUL26,BTC,BTC,59924.95,0.0,0.1865,71000.0,1785484800000,put,0.0050000000000000044,0.026809651474530856,1.1848153398542678,11075.050000000003,11176.003175,False
0.0042,0.0017,0.0042,0.0,BTC-30JUN26-62500-C,0.0022,0.0027,20.5,0.00258697,1782497953809,50.0,20.5,38.06,59924.95,index_price,BTC,BTC,59924.95,3600.64,0.00245,62500.0,1782806400000,call,0.0005,0.20408163265306123,1.0429712498717145,0.0,146.8161275,False
